topic_name,consumer_group,partition,offset,lag,broker_id,throughput_msg_sec,status,timestamp
compliance.kyc.checks,claims-processing-group,8,38062269,125,BRO0005,954,SUCCESS,2026-06-02T14:07:00
sla.breach.alerts,hr-data-sync,9,37657856,24,BRO0010,1468,SUCCESS,2026-07-05T16:49:00
logistics.fleet.telemetry,order-processing-service,3,42683129,781,BRO0007,1135,SUCCESS,2026-06-27T04:32:00
payments.transactions.completed,churn-model-feeder,5,10173752,290,BRO0005,4566,SUCCESS,2026-07-17T19:56:00
inventory.stock.changes,warehouse-ops-consumer,10,841251,539,BRO0005,638,SUCCESS,2026-06-09T17:55:00
payments.transactions.completed,churn-model-feeder,22,21803789,66,BRO0001,3561,SUCCESS,2026-06-22T00:41:00
returns.processed.events,quality-control-consumer,12,5759826,1294,BRO0001,1748,SUCCESS,2026-07-07T21:04:00
warehouse.pick_pack.events,pricing-engine-consumer,13,2428618,274,BRO0002,61,SUCCESS,2026-07-02T13:20:00
inventory.stock.changes,churn-model-feeder,19,43629770,1118,BRO0007,1851,SUCCESS,2026-07-21T14:22:00
payments.transactions.completed,logistics-telemetry-consumer,2,36636175,88,BRO0008,596,SUCCESS,2026-07-07T23:35:00
sla.breach.alerts,inventory-sync-consumer,0,5644537,1620,BRO0008,406,CANCELLED,2026-07-01T12:24:00
payments.transactions.completed,order-processing-service,22,30818405,2905,BRO0003,1096,SUCCESS,2026-06-14T11:10:00
campaign.performance.metrics,notification-dispatcher,3,46546044,1417,BRO0008,1554,CANCELLED,2026-07-11T17:57:00
fraud.alerts.stream,hr-data-sync,15,12328957,605,BRO0004,16266,SUCCESS,2026-07-14T12:54:00
quality.inspection.results,asset-maintenance-consumer,1,46265075,24161,BRO0010,1197,SUCCESS,2026-07-07T11:39:00
billing.transactions.raw,loyalty-points-processor,23,13433487,751,BRO0005,427,SUCCESS,2026-06-09T20:43:00
shipping.tracking.updates,compliance-monitor,4,44962975,817,BRO0007,974,SUCCESS,2026-07-03T12:15:00
refund.processing.events,analytics-aggregator,8,27784911,899,BRO0004,1851,SUCCESS,2026-06-08T14:10:00
security.auth.events,claims-processing-group,15,38325033,41789,BRO0004,398,SUCCESS,2026-07-20T16:54:00
refund.processing.events,fraud-detection-group,20,35359193,1821,BRO0012,855,RUNNING,2026-06-16T08:46:00
orders.events.processed,recommendation-engine-consumer,11,22837910,294,BRO0005,188,SUCCESS,2026-06-25T13:28:00
audit.access.logs,loyalty-points-processor,9,22666719,139,BRO0004,285,SUCCESS,2026-07-17T03:57:00
recommendation.engine.scores,customer-360-builder,17,16938327,1375,BRO0003,691,SUCCESS,2026-06-09T17:45:00
procurement.purchase_orders,compliance-monitor,15,10252186,465,BRO0006,2479,SUCCESS,2026-06-28T02:30:00
quality.inspection.results,security-event-processor,20,28010781,1157,BRO0010,410,RUNNING,2026-07-12T00:32:00
logistics.fleet.telemetry,sla-monitor-consumer,5,19381773,78,BRO0006,433,SUCCESS,2026-06-02T23:54:00
fraud.alerts.stream,customer-360-builder,3,33312092,39,BRO0010,997,SUCCESS,2026-07-24T02:09:00
logistics.fleet.telemetry,recommendation-engine-consumer,15,44800437,175,BRO0003,364,SUCCESS,2026-06-12T06:31:00
logistics.fleet.telemetry,notification-dispatcher,4,12303894,29188,BRO0012,602,SUCCESS,2026-07-03T17:34:00
shipping.tracking.updates,order-processing-service,13,3269892,14662,BRO0009,404,SUCCESS,2026-07-03T02:54:00
customer.profile.updates,claims-processing-group,10,44000864,307,BRO0007,7267,SUCCESS,2026-07-06T20:06:00
dispute.resolution.updates,marketing-attribution-consumer,15,19162438,2354,BRO0010,657,SUCCESS,2026-06-04T11:16:00
underwriting.decisions,marketing-attribution-consumer,9,29839887,504,BRO0004,5035,CANCELLED,2026-07-24T03:10:00
compliance.kyc.checks,claims-processing-group,19,9062043,176,BRO0009,1268,FAILED,2026-06-19T00:24:00
sla.breach.alerts,churn-model-feeder,6,23420910,257,BRO0007,7652,SUCCESS,2026-06-30T11:42:00
customer.support.tickets,payments-reconciler,22,24483553,11592,BRO0004,375,RUNNING,2026-06-13T01:21:00
sales.leads.captured,claims-processing-group,14,26686190,130,BRO0004,1333,SUCCESS,2026-07-25T08:26:00
order.cancellations,payments-reconciler,16,40481366,830,BRO0007,79,SUCCESS,2026-07-10T07:14:00
loyalty.points.accrued,customer-360-builder,19,30765145,821,BRO0002,4566,SUCCESS,2026-06-07T19:24:00
security.auth.events,billing-pipeline-consumer,9,46103488,516,BRO0010,2170,FAILED,2026-06-09T06:25:00
fraud.alerts.stream,claims-processing-group,21,3162494,582,BRO0001,741,RUNNING,2026-07-14T12:47:00
claims.submitted.events,analytics-aggregator,12,2575463,39761,BRO0005,10159,SUCCESS,2026-06-22T02:42:00
audit.access.logs,order-processing-service,11,3060136,1017,BRO0003,25684,SUCCESS,2026-06-16T12:01:00
shipping.tracking.updates,logistics-telemetry-consumer,17,34927357,265,BRO0006,5832,SUCCESS,2026-06-26T14:49:00
inventory.stock.changes,asset-maintenance-consumer,23,8144491,1290,BRO0007,6358,FAILED,2026-06-17T02:13:00
procurement.purchase_orders,billing-pipeline-consumer,17,24350574,2794,BRO0008,1176,SUCCESS,2026-07-22T09:10:00
energy.consumption.readings,pricing-engine-consumer,20,48120492,1863,BRO0002,453,SUCCESS,2026-06-29T09:07:00
pricing.updates.stream,asset-maintenance-consumer,12,11590972,561,BRO0012,212,SUCCESS,2026-06-24T00:40:00
shipping.tracking.updates,notification-dispatcher,4,16276505,1150,BRO0002,3514,SUCCESS,2026-06-15T22:31:00
churn.risk.updates,notification-dispatcher,13,14565885,279,BRO0006,140,FAILED,2026-06-08T18:01:00
shipping.tracking.updates,hr-data-sync,13,709330,1938,BRO0008,895,RUNNING,2026-07-22T23:47:00
compliance.kyc.checks,warehouse-ops-consumer,5,48006744,305,BRO0010,7266,SUCCESS,2026-06-25T00:38:00
churn.risk.updates,analytics-aggregator,5,27860149,531,BRO0002,1645,FAILED,2026-07-07T22:05:00
payments.transactions.completed,compliance-monitor,19,12019494,3195,BRO0012,278,RUNNING,2026-06-22T04:09:00
pricing.updates.stream,logistics-telemetry-consumer,7,14305598,595,BRO0010,432,SUCCESS,2026-07-15T16:59:00
returns.processed.events,order-processing-service,10,41660409,349,BRO0010,4520,SUCCESS,2026-07-03T08:34:00
customer.support.tickets,payments-reconciler,1,3049884,234,BRO0006,347,RUNNING,2026-06-10T07:55:00
payments.transactions.completed,pricing-engine-consumer,17,27964803,923,BRO0012,671,SUCCESS,2026-06-08T02:59:00
procurement.purchase_orders,customer-360-builder,16,15366924,901,BRO0009,236,SUCCESS,2026-07-14T05:39:00
asset.maintenance.alerts,marketing-attribution-consumer,6,3451574,443,BRO0010,1035,SUCCESS,2026-06-25T01:43:00
order.cancellations,marketing-attribution-consumer,11,46127241,199,BRO0009,559,QUEUED,2026-06-15T04:30:00
fraud.alerts.stream,asset-maintenance-consumer,23,13650142,734,BRO0008,3417,SUCCESS,2026-07-08T06:44:00
churn.risk.updates,recommendation-engine-consumer,7,1685012,1123,BRO0011,373,QUEUED,2026-07-06T03:01:00
customer.profile.updates,notification-dispatcher,13,17284765,1406,BRO0002,687,FAILED,2026-06-24T09:01:00
customer.support.tickets,reporting-etl-consumer,18,31914086,802,BRO0005,81,SUCCESS,2026-06-13T04:03:00
customer.support.tickets,payments-reconciler,20,14466866,1,BRO0009,4660,RUNNING,2026-07-24T22:28:00
claims.submitted.events,audit-log-collector,15,2557287,310,BRO0005,4177,FAILED,2026-07-14T13:37:00
energy.consumption.readings,logistics-telemetry-consumer,3,2468814,1624,BRO0007,811,RUNNING,2026-06-21T17:31:00
logistics.fleet.telemetry,audit-log-collector,21,49112767,1105,BRO0002,1304,SUCCESS,2026-06-27T23:05:00
marketing.campaign.events,logistics-telemetry-consumer,16,13012483,621,BRO0007,1812,SUCCESS,2026-07-20T18:10:00
loyalty.points.accrued,customer-360-builder,14,10711312,133,BRO0008,3570,SUCCESS,2026-07-07T02:30:00
marketing.campaign.events,loyalty-points-processor,5,30595432,282,BRO0007,179,SUCCESS,2026-06-19T23:55:00
loyalty.points.accrued,security-event-processor,2,17716424,26589,BRO0006,408,CANCELLED,2026-06-14T08:52:00
supply_chain.shipments.updates,audit-log-collector,5,12507328,908,BRO0005,13417,FAILED,2026-06-23T18:54:00
audit.access.logs,sla-monitor-consumer,17,40981143,1265,BRO0008,3983,RUNNING,2026-06-15T10:08:00
billing.transactions.raw,security-event-processor,9,33280120,604,BRO0001,2109,SUCCESS,2026-07-11T04:21:00
energy.consumption.readings,billing-pipeline-consumer,21,36767900,1164,BRO0008,1144,SUCCESS,2026-06-11T20:47:00
loyalty.points.accrued,payments-reconciler,18,12531259,709,BRO0012,2793,SUCCESS,2026-07-01T17:04:00
campaign.performance.metrics,customer-360-builder,14,31686909,175,BRO0007,2964,SUCCESS,2026-06-12T05:42:00
order.cancellations,marketing-attribution-consumer,19,18836606,115,BRO0002,2922,SUCCESS,2026-07-24T02:33:00
procurement.purchase_orders,analytics-aggregator,10,28013714,364,BRO0007,345,FAILED,2026-06-22T16:38:00
asset.maintenance.alerts,logistics-telemetry-consumer,20,24893762,506,BRO0004,1138,SUCCESS,2026-07-21T11:46:00
compliance.kyc.checks,customer-360-builder,5,9177141,55,BRO0007,1726,FAILED,2026-06-08T22:46:00
hr.employee.changes,asset-maintenance-consumer,20,41611325,905,BRO0010,1560,SUCCESS,2026-06-17T05:15:00
recommendation.engine.scores,claims-processing-group,14,35453248,1097,BRO0011,354,SUCCESS,2026-07-12T06:44:00
churn.risk.updates,logistics-telemetry-consumer,4,27643146,2643,BRO0010,872,SUCCESS,2026-06-19T10:04:00
loyalty.points.accrued,compliance-monitor,19,7629460,110,BRO0012,381,SUCCESS,2026-06-21T08:46:00
inventory.stock.changes,audit-log-collector,7,24467213,505,BRO0003,701,SUCCESS,2026-07-07T18:37:00
warehouse.pick_pack.events,churn-model-feeder,3,13867173,161,BRO0007,1431,SUCCESS,2026-07-27T18:45:00
supply_chain.shipments.updates,pricing-engine-consumer,9,43155841,935,BRO0001,2101,SUCCESS,2026-07-16T04:28:00
pricing.updates.stream,loyalty-points-processor,6,38145487,1778,BRO0008,2148,RUNNING,2026-07-23T00:00:00
procurement.purchase_orders,asset-maintenance-consumer,6,12952554,987,BRO0004,3412,SUCCESS,2026-06-07T09:06:00
sla.breach.alerts,asset-maintenance-consumer,10,17115238,957,BRO0002,1327,RUNNING,2026-07-15T04:01:00
subscription.renewals,recommendation-engine-consumer,4,14636119,95,BRO0012,280,SUCCESS,2026-07-22T15:35:00
recommendation.engine.scores,warehouse-ops-consumer,9,13680000,501,BRO0004,1200,SUCCESS,2026-07-21T12:31:00
audit.access.logs,security-event-processor,23,9795524,1049,BRO0009,680,SUCCESS,2026-06-21T04:52:00
pricing.updates.stream,order-processing-service,6,20380085,2055,BRO0006,172,RUNNING,2026-07-13T11:48:00
compliance.kyc.checks,marketing-attribution-consumer,21,9086109,1864,BRO0011,558,SUCCESS,2026-06-09T03:51:00
orders.events.processed,notification-dispatcher,18,36268071,486,BRO0011,1762,SUCCESS,2026-07-15T12:35:00
customer.profile.updates,notification-dispatcher,21,21490384,1381,BRO0001,3480,RUNNING,2026-06-16T02:55:00
subscription.renewals,order-processing-service,23,15687500,552,BRO0010,986,SUCCESS,2026-06-21T12:16:00
payments.transactions.completed,asset-maintenance-consumer,1,41196011,692,BRO0012,239,SUCCESS,2026-07-16T12:11:00
security.auth.events,logistics-telemetry-consumer,5,3167540,907,BRO0002,1052,SUCCESS,2026-07-11T02:45:00
warehouse.pick_pack.events,security-event-processor,17,34505063,506,BRO0007,496,FAILED,2026-06-15T14:04:00
finance.gl.postings,compliance-monitor,3,41955751,1532,BRO0011,4473,CANCELLED,2026-06-14T05:59:00
shipping.tracking.updates,order-processing-service,13,18784304,7,BRO0012,278,RUNNING,2026-06-07T16:51:00
churn.risk.updates,hr-data-sync,9,14488744,596,BRO0012,2850,SUCCESS,2026-07-07T21:42:00
hr.employee.changes,compliance-monitor,1,24462248,484,BRO0005,864,SUCCESS,2026-07-05T00:51:00
campaign.performance.metrics,sla-monitor-consumer,12,9955553,481,BRO0009,1714,SUCCESS,2026-06-13T04:44:00
customer.profile.updates,supply-chain-tracker,0,39090070,2893,BRO0004,507,SUCCESS,2026-07-23T00:40:00
procurement.purchase_orders,recommendation-engine-consumer,11,7093818,36,BRO0002,1977,FAILED,2026-07-04T01:24:00
pricing.updates.stream,marketing-attribution-consumer,15,12909086,374,BRO0001,1105,SUCCESS,2026-06-18T20:34:00
refund.processing.events,hr-data-sync,15,46168585,252,BRO0001,911,SUCCESS,2026-07-17T11:24:00
sla.breach.alerts,churn-model-feeder,2,39255791,63,BRO0006,338,SUCCESS,2026-06-30T02:35:00
procurement.purchase_orders,notification-dispatcher,10,36381085,89,BRO0008,599,SUCCESS,2026-07-06T14:20:00
supply_chain.shipments.updates,analytics-aggregator,12,6564693,1443,BRO0010,137,SUCCESS,2026-06-23T03:54:00
security.auth.events,reporting-etl-consumer,3,35646942,2424,BRO0008,1969,SUCCESS,2026-07-22T04:26:00
customer.support.tickets,logistics-telemetry-consumer,8,9822914,2061,BRO0003,801,FAILED,2026-07-24T17:04:00
customer.profile.updates,analytics-aggregator,22,8867917,787,BRO0001,5760,SUCCESS,2026-07-04T05:21:00
recommendation.engine.scores,hr-data-sync,3,14146650,75,BRO0009,209,SUCCESS,2026-07-20T05:24:00
sla.breach.alerts,warehouse-ops-consumer,14,29113691,2173,BRO0004,6378,SUCCESS,2026-07-19T02:42:00
order.cancellations,sla-monitor-consumer,4,30673648,43,BRO0011,1843,SUCCESS,2026-06-28T19:40:00
supply_chain.shipments.updates,audit-log-collector,5,25517098,586,BRO0011,671,SUCCESS,2026-06-13T06:30:00
loyalty.points.accrued,supply-chain-tracker,13,20244310,1018,BRO0005,1915,SUCCESS,2026-07-26T19:27:00
claims.submitted.events,warehouse-ops-consumer,8,6039666,1543,BRO0002,274,SUCCESS,2026-06-25T01:39:00
customer.support.tickets,order-processing-service,4,10625091,163,BRO0005,244,SUCCESS,2026-06-13T17:02:00
customer.profile.updates,logistics-telemetry-consumer,22,8380283,513,BRO0009,4286,SUCCESS,2026-06-20T15:54:00
fraud.alerts.stream,asset-maintenance-consumer,14,12306494,1029,BRO0001,121,FAILED,2026-06-24T19:16:00
procurement.purchase_orders,compliance-monitor,2,7399524,460,BRO0009,1132,FAILED,2026-07-09T19:07:00
energy.consumption.readings,billing-pipeline-consumer,5,32182954,1277,BRO0006,5037,SUCCESS,2026-07-03T03:57:00
sla.breach.alerts,supply-chain-tracker,7,36068643,633,BRO0001,1271,RUNNING,2026-07-19T22:48:00
recommendation.engine.scores,notification-dispatcher,12,49449805,1154,BRO0012,4892,SUCCESS,2026-07-14T21:12:00
sales.leads.captured,customer-360-builder,10,14516090,12,BRO0008,876,SUCCESS,2026-07-05T10:11:00
subscription.renewals,claims-processing-group,7,48183408,134,BRO0007,531,RUNNING,2026-07-11T03:01:00
sla.breach.alerts,pricing-engine-consumer,2,21295713,212,BRO0012,4076,SUCCESS,2026-06-23T11:04:00
refund.processing.events,order-processing-service,12,21331803,2349,BRO0008,2992,SUCCESS,2026-06-24T19:44:00
orders.events.processed,marketing-attribution-consumer,23,49836724,162,BRO0005,1024,SUCCESS,2026-06-08T11:04:00
payments.transactions.completed,audit-log-collector,0,13680389,703,BRO0002,5195,SUCCESS,2026-07-24T11:37:00
finance.gl.postings,inventory-sync-consumer,16,7365677,1736,BRO0001,319,SUCCESS,2026-06-04T01:59:00
asset.maintenance.alerts,inventory-sync-consumer,11,17514116,2270,BRO0001,3537,FAILED,2026-07-26T23:05:00
dispute.resolution.updates,warehouse-ops-consumer,21,49314588,1524,BRO0008,723,CANCELLED,2026-06-09T10:28:00
campaign.performance.metrics,marketing-attribution-consumer,14,8709028,106,BRO0011,1449,SUCCESS,2026-07-19T12:28:00
energy.consumption.readings,compliance-monitor,5,5855276,1373,BRO0005,1269,SUCCESS,2026-07-02T11:04:00
loyalty.points.accrued,payments-reconciler,17,27196307,25269,BRO0003,1382,FAILED,2026-06-26T21:46:00
recommendation.engine.scores,sla-monitor-consumer,2,13058095,603,BRO0004,2037,SUCCESS,2026-06-01T03:05:00
refund.processing.events,notification-dispatcher,15,22312571,649,BRO0008,5429,SUCCESS,2026-07-17T16:56:00
supply_chain.shipments.updates,hr-data-sync,2,11506681,1064,BRO0005,5396,SUCCESS,2026-07-18T00:08:00
customer.profile.updates,quality-control-consumer,19,42721516,1728,BRO0008,1258,RUNNING,2026-06-16T04:47:00
marketing.campaign.events,audit-log-collector,3,44830914,960,BRO0011,1228,SUCCESS,2026-07-26T11:45:00
compliance.kyc.checks,notification-dispatcher,1,16709259,625,BRO0012,383,FAILED,2026-06-10T20:28:00
vendor.onboarding.events,notification-dispatcher,17,7300744,163,BRO0012,7142,SUCCESS,2026-06-08T22:07:00
logistics.fleet.telemetry,inventory-sync-consumer,23,11641311,750,BRO0010,3196,RUNNING,2026-06-05T07:29:00
fraud.alerts.stream,claims-processing-group,10,42415168,2159,BRO0005,573,SUCCESS,2026-06-27T09:05:00
churn.risk.updates,compliance-monitor,11,31660733,80,BRO0010,1403,SUCCESS,2026-07-16T16:47:00
compliance.kyc.checks,compliance-monitor,19,10785948,1999,BRO0005,6093,SUCCESS,2026-06-01T06:38:00
campaign.performance.metrics,customer-360-builder,7,42668421,37968,BRO0001,530,SUCCESS,2026-07-26T15:08:00
campaign.performance.metrics,inventory-sync-consumer,5,43464785,20,BRO0003,1558,SUCCESS,2026-06-15T10:42:00
orders.events.processed,marketing-attribution-consumer,16,13011801,106,BRO0012,1144,SUCCESS,2026-06-17T22:47:00
claims.submitted.events,supply-chain-tracker,2,33185759,1092,BRO0011,838,FAILED,2026-06-29T12:51:00
payments.transactions.completed,notification-dispatcher,21,32810219,923,BRO0005,1257,RUNNING,2026-07-12T00:20:00
orders.events.processed,churn-model-feeder,10,20332336,695,BRO0008,126,RUNNING,2026-06-19T07:10:00
claims.submitted.events,sla-monitor-consumer,2,15548994,56236,BRO0007,3441,RUNNING,2026-06-16T00:19:00
refund.processing.events,reporting-etl-consumer,12,29463637,1630,BRO0004,694,SUCCESS,2026-06-14T15:06:00
refund.processing.events,notification-dispatcher,13,1320745,1353,BRO0008,1319,SUCCESS,2026-07-15T00:32:00
supply_chain.shipments.updates,analytics-aggregator,4,7006905,1359,BRO0011,241,SUCCESS,2026-07-27T00:32:00
audit.access.logs,analytics-aggregator,10,5671417,833,BRO0010,14878,RUNNING,2026-06-10T13:22:00
loyalty.points.accrued,notification-dispatcher,8,17120996,330,BRO0010,2177,SUCCESS,2026-06-12T17:20:00
underwriting.decisions,claims-processing-group,10,21118304,374,BRO0002,133,SUCCESS,2026-06-30T12:41:00
campaign.performance.metrics,fraud-detection-group,6,47216474,652,BRO0007,581,SUCCESS,2026-06-21T00:48:00
vendor.onboarding.events,customer-360-builder,11,8772743,18072,BRO0011,788,SUCCESS,2026-07-16T02:49:00
pricing.updates.stream,security-event-processor,23,25688472,545,BRO0004,386,SUCCESS,2026-06-18T04:14:00
finance.gl.postings,pricing-engine-consumer,3,49857792,42862,BRO0005,252,SUCCESS,2026-07-26T06:31:00
supply_chain.shipments.updates,payments-reconciler,3,49871332,1744,BRO0011,262,SUCCESS,2026-07-11T05:34:00
customer.profile.updates,analytics-aggregator,16,37027699,6,BRO0009,436,FAILED,2026-07-09T09:39:00
subscription.renewals,recommendation-engine-consumer,17,45443890,119,BRO0012,1337,SUCCESS,2026-07-08T08:22:00
underwriting.decisions,compliance-monitor,9,23269624,49,BRO0011,1450,SUCCESS,2026-07-10T05:22:00
energy.consumption.readings,audit-log-collector,4,33931716,638,BRO0004,4575,SUCCESS,2026-07-10T20:50:00
sales.leads.captured,quality-control-consumer,2,44479405,250,BRO0002,928,QUEUED,2026-06-24T03:36:00
sla.breach.alerts,fraud-detection-group,22,26377011,394,BRO0003,92,QUEUED,2026-07-09T23:53:00
payments.transactions.completed,pricing-engine-consumer,3,35088217,204,BRO0009,944,SUCCESS,2026-06-10T16:15:00
customer.support.tickets,pricing-engine-consumer,2,38450434,43,BRO0009,3708,SUCCESS,2026-07-11T23:18:00
asset.maintenance.alerts,notification-dispatcher,10,14507739,13725,BRO0006,300,FAILED,2026-07-16T22:59:00
sla.breach.alerts,order-processing-service,8,48364687,1524,BRO0001,1351,SUCCESS,2026-07-10T12:13:00
finance.gl.postings,sla-monitor-consumer,10,31794482,321,BRO0007,1590,SUCCESS,2026-06-05T13:38:00
payments.transactions.completed,audit-log-collector,4,17408893,596,BRO0007,358,SUCCESS,2026-06-02T09:32:00
loyalty.points.accrued,marketing-attribution-consumer,15,1694773,377,BRO0011,879,CANCELLED,2026-07-13T15:32:00
churn.risk.updates,fraud-detection-group,8,45092038,194,BRO0001,359,SUCCESS,2026-06-18T07:48:00
compliance.kyc.checks,security-event-processor,18,37374738,534,BRO0006,5444,CANCELLED,2026-06-18T15:40:00
security.auth.events,compliance-monitor,0,43961838,441,BRO0012,2266,SUCCESS,2026-07-03T07:01:00
security.auth.events,hr-data-sync,20,40697953,62,BRO0001,1174,SUCCESS,2026-06-03T22:51:00
supply_chain.shipments.updates,inventory-sync-consumer,17,17001060,145,BRO0003,2368,SUCCESS,2026-06-26T19:45:00
billing.transactions.raw,inventory-sync-consumer,8,38277041,791,BRO0008,2335,SUCCESS,2026-06-09T10:46:00
vendor.onboarding.events,claims-processing-group,5,17150520,373,BRO0006,428,SUCCESS,2026-07-16T20:49:00
security.auth.events,billing-pipeline-consumer,14,15208217,2169,BRO0011,258,SUCCESS,2026-07-01T08:54:00
hr.employee.changes,quality-control-consumer,11,30445850,567,BRO0011,226,SUCCESS,2026-07-06T01:18:00
dispute.resolution.updates,customer-360-builder,22,9929927,60,BRO0005,271,SUCCESS,2026-06-19T01:42:00
audit.access.logs,customer-360-builder,21,47584450,599,BRO0009,2730,SUCCESS,2026-06-11T17:28:00
claims.submitted.events,warehouse-ops-consumer,23,10735898,162,BRO0006,3721,CANCELLED,2026-06-08T11:56:00
marketing.campaign.events,fraud-detection-group,7,34373466,1009,BRO0006,5945,SUCCESS,2026-07-14T05:01:00
energy.consumption.readings,quality-control-consumer,13,30535946,921,BRO0008,253,SUCCESS,2026-06-19T09:52:00
procurement.purchase_orders,supply-chain-tracker,1,25143959,2199,BRO0010,1097,SUCCESS,2026-06-30T05:01:00
shipping.tracking.updates,churn-model-feeder,13,29711425,316,BRO0010,4273,SUCCESS,2026-07-16T12:20:00
fraud.alerts.stream,billing-pipeline-consumer,6,41864480,23472,BRO0004,7953,SUCCESS,2026-07-06T04:02:00
order.cancellations,fraud-detection-group,1,31796975,183,BRO0004,769,SUCCESS,2026-07-12T10:39:00
returns.processed.events,audit-log-collector,13,6799324,1206,BRO0004,733,SUCCESS,2026-06-11T05:51:00
customer.support.tickets,audit-log-collector,16,20580815,696,BRO0001,724,QUEUED,2026-06-27T11:51:00
warehouse.pick_pack.events,notification-dispatcher,0,27844859,1180,BRO0010,1793,SUCCESS,2026-07-07T18:12:00
underwriting.decisions,recommendation-engine-consumer,16,9402045,389,BRO0001,2689,SUCCESS,2026-06-22T00:50:00
supply_chain.shipments.updates,security-event-processor,2,12909073,653,BRO0011,3295,RUNNING,2026-06-26T01:03:00
compliance.kyc.checks,compliance-monitor,6,35696906,30628,BRO0004,675,RUNNING,2026-07-27T12:07:00
recommendation.engine.scores,asset-maintenance-consumer,1,43291516,317,BRO0005,5580,SUCCESS,2026-06-03T04:52:00
recommendation.engine.scores,quality-control-consumer,19,34124388,304,BRO0004,367,SUCCESS,2026-06-30T02:25:00
pricing.updates.stream,order-processing-service,5,33810116,871,BRO0002,2240,RUNNING,2026-07-01T18:11:00
payments.transactions.completed,churn-model-feeder,4,10213772,323,BRO0007,4981,SUCCESS,2026-07-09T11:10:00
pricing.updates.stream,audit-log-collector,14,36623137,2947,BRO0010,3845,FAILED,2026-06-10T07:44:00
subscription.renewals,customer-360-builder,13,25452916,122,BRO0008,1819,SUCCESS,2026-07-18T17:43:00
marketing.campaign.events,reporting-etl-consumer,3,2695910,971,BRO0008,737,CANCELLED,2026-07-24T10:52:00
churn.risk.updates,churn-model-feeder,9,28089308,1066,BRO0009,1036,SUCCESS,2026-06-29T22:11:00
sales.leads.captured,audit-log-collector,4,34759184,320,BRO0002,504,CANCELLED,2026-07-23T00:08:00
procurement.purchase_orders,hr-data-sync,6,9118680,566,BRO0011,530,SUCCESS,2026-07-06T15:21:00
customer.support.tickets,fraud-detection-group,18,12026653,31,BRO0002,376,RUNNING,2026-06-21T06:56:00
returns.processed.events,asset-maintenance-consumer,8,43852463,307,BRO0004,3827,SUCCESS,2026-06-26T09:58:00
shipping.tracking.updates,warehouse-ops-consumer,11,21071574,12524,BRO0007,307,SUCCESS,2026-06-07T10:18:00
payments.transactions.completed,claims-processing-group,1,10957594,853,BRO0008,522,SUCCESS,2026-07-18T17:16:00
sla.breach.alerts,asset-maintenance-consumer,17,38687302,1877,BRO0012,4976,SUCCESS,2026-07-01T01:17:00
quality.inspection.results,recommendation-engine-consumer,10,4259510,774,BRO0007,1745,SUCCESS,2026-07-14T11:51:00
vendor.onboarding.events,order-processing-service,16,36621034,1444,BRO0005,7677,RUNNING,2026-07-07T02:19:00
customer.support.tickets,sla-monitor-consumer,9,4516202,2981,BRO0004,6403,SUCCESS,2026-06-26T13:11:00
security.auth.events,fraud-detection-group,0,15746293,1445,BRO0007,1845,SUCCESS,2026-07-06T01:46:00
fraud.alerts.stream,pricing-engine-consumer,11,29162823,473,BRO0012,3902,SUCCESS,2026-07-18T06:53:00
returns.processed.events,billing-pipeline-consumer,7,28659497,830,BRO0001,334,SUCCESS,2026-06-07T22:41:00
recommendation.engine.scores,claims-processing-group,11,10148355,91,BRO0005,1510,SUCCESS,2026-06-14T13:17:00
billing.transactions.raw,warehouse-ops-consumer,2,27583365,596,BRO0001,8034,FAILED,2026-07-09T21:38:00
recommendation.engine.scores,order-processing-service,23,37825176,518,BRO0011,1955,SUCCESS,2026-06-20T22:39:00
hr.employee.changes,compliance-monitor,18,26680550,371,BRO0012,1619,SUCCESS,2026-06-24T14:36:00
fraud.alerts.stream,warehouse-ops-consumer,18,49694172,363,BRO0002,23480,SUCCESS,2026-07-09T07:46:00
order.cancellations,audit-log-collector,0,38927332,126,BRO0008,2907,SUCCESS,2026-06-01T20:35:00
underwriting.decisions,pricing-engine-consumer,8,14350741,15,BRO0008,241,SUCCESS,2026-06-08T07:46:00
orders.events.processed,asset-maintenance-consumer,17,7647992,17429,BRO0008,4244,SUCCESS,2026-07-06T02:12:00
fraud.alerts.stream,fraud-detection-group,20,21822894,644,BRO0012,73,SUCCESS,2026-07-23T23:04:00
sales.leads.captured,sla-monitor-consumer,2,37430870,2065,BRO0010,2063,SUCCESS,2026-06-05T13:04:00
customer.profile.updates,pricing-engine-consumer,0,40240817,1191,BRO0003,1828,SUCCESS,2026-06-02T05:56:00
underwriting.decisions,customer-360-builder,22,40935115,918,BRO0003,716,SUCCESS,2026-06-07T01:34:00
underwriting.decisions,hr-data-sync,14,13963770,799,BRO0006,503,SUCCESS,2026-07-24T00:39:00
order.cancellations,payments-reconciler,5,18237630,1287,BRO0007,742,CANCELLED,2026-06-11T20:00:00
quality.inspection.results,security-event-processor,0,45521618,1182,BRO0004,24267,SUCCESS,2026-06-17T10:54:00
quality.inspection.results,claims-processing-group,9,3573741,316,BRO0010,355,SUCCESS,2026-07-11T21:59:00
sla.breach.alerts,pricing-engine-consumer,20,39336604,1670,BRO0009,491,CANCELLED,2026-07-21T19:18:00
campaign.performance.metrics,reporting-etl-consumer,0,49429798,1685,BRO0007,971,FAILED,2026-07-27T14:29:00
