entity_id,source_system,total_incidents,last_incident,root_cause,resolution,severity
BRO0526,Kafka,7,2026-07-21,Sensor Failure,Restart Service,Medium
BRO0527,Kafka,6,2026-07-23,CPU Saturation,Apply Patch,Critical
BRO0528,Kafka,7,2026-07-13,Configuration Drift,Apply Patch,High
BRO0529,Kafka,0,2026-07-24,Database Lock,Rollback Deployment,Critical
BRO0530,Kafka,6,2026-07-22,Memory Leak,Scale Cluster,Critical
BRO0531,Kafka,4,2026-07-05,Container Restart,Scale Cluster,Low
BRO0532,Kafka,6,2026-07-05,Authentication Failure,Replace Sensor,Critical
BRO0533,Kafka,0,2026-07-21,Broker Failure,Replace Node,Low
BRO0534,Kafka,13,2026-07-11,Pod Crash,Update Configuration,Low
BRO0535,Kafka,2,2026-07-23,API Rate Limit,Apply Patch,Medium
BRO0536,Kafka,6,2026-07-03,Sensor Failure,Apply Patch,Low
BRO0537,Kafka,2,2026-07-27,Broker Failure,Restart Service,Critical
BRO0538,Kafka,14,2026-07-21,Database Lock,Restart Service,Low
BRO0539,Kafka,1,2026-07-11,Database Lock,Increase Resources,Critical
BRO0540,Kafka,5,2026-07-22,Power Outage,Scale Cluster,High
BRO0541,Kafka,13,2026-07-11,Configuration Drift,Update Configuration,Medium
BRO0542,Kafka,9,2026-07-02,Power Outage,Rollback Deployment,Critical
BRO0543,Kafka,10,2026-07-11,Pod Crash,Increase Resources,Low
BRO0544,Kafka,12,2026-07-06,Disk Full,Restart Service,Medium
BRO0545,Kafka,3,2026-07-04,Database Lock,Restart Service,Medium
BRO0546,Kafka,1,2026-07-27,API Rate Limit,Update Configuration,High
BRO0547,Kafka,10,2026-07-28,CPU Saturation,Replace Node,High
BRO0548,Kafka,14,2026-07-04,Pod Crash,Replace Sensor,Medium
BRO0549,Kafka,13,2026-07-15,Firmware Error,Apply Patch,Low
BRO0550,Kafka,6,2026-07-14,Dependency Failure,Restart Service,Medium
BRO0551,Kafka,9,2026-07-26,Disk Full,Update Configuration,High
BRO0552,Kafka,0,2026-07-22,Broker Failure,Rollback Deployment,Medium
BRO0553,Kafka,15,2026-07-03,Container Restart,Apply Patch,High
BRO0554,Kafka,15,2026-07-18,Power Outage,Restart Service,Low
BRO0555,Kafka,5,2026-07-21,Firmware Error,Replace Sensor,High
BRO0556,Kafka,9,2026-07-15,Dependency Failure,Restart Service,Medium
BRO0557,Kafka,12,2026-07-17,Broker Failure,Replace Node,High
BRO0558,Kafka,4,2026-07-01,Container Restart,Update Configuration,Low
BRO0559,Kafka,7,2026-07-11,Dependency Failure,Apply Patch,High
BRO0560,Kafka,7,2026-07-24,API Rate Limit,Retry Pipeline,High
BRO0561,Kafka,14,2026-07-15,API Rate Limit,Restart Service,Medium
BRO0562,Kafka,12,2026-07-20,Network Timeout,Replace Node,Medium
BRO0563,Kafka,0,2026-07-01,API Rate Limit,Apply Patch,High
BRO0564,Kafka,7,2026-07-19,Container Restart,Restart Service,Critical
BRO0565,Kafka,0,2026-07-04,CPU Saturation,Scale Cluster,High
BRO0566,Kafka,11,2026-07-20,Broker Failure,Manual Intervention,Medium
BRO0567,Kafka,2,2026-07-15,Database Lock,Replace Node,Medium
BRO0568,Kafka,5,2026-07-25,Power Outage,Increase Resources,Low
BRO0569,Kafka,15,2026-07-21,Broker Failure,Manual Intervention,Medium
BRO0570,Kafka,0,2026-07-24,Sensor Failure,Retry Pipeline,High
BRO0571,Kafka,1,2026-07-23,Network Timeout,Replace Node,Low
BRO0572,Kafka,8,2026-07-26,Container Restart,Rollback Deployment,Low
BRO0573,Kafka,0,2026-07-25,Authentication Failure,Manual Intervention,Critical
BRO0574,Kafka,2,2026-07-19,Broker Failure,Apply Patch,Medium
BRO0575,Kafka,3,2026-07-15,Authentication Failure,Scale Cluster,Low
BRO0576,Kafka,15,2026-07-10,Network Timeout,Rollback Deployment,Critical
BRO0577,Kafka,15,2026-07-25,Broker Failure,Rollback Deployment,Critical
BRO0578,Kafka,15,2026-07-21,Container Restart,Increase Resources,Critical
BRO0579,Kafka,12,2026-07-20,Firmware Error,Apply Patch,Low
BRO0580,Kafka,15,2026-07-28,Dependency Failure,Increase Resources,Medium
BRO0581,Kafka,6,2026-07-20,Dependency Failure,Retry Pipeline,High
BRO0582,Kafka,10,2026-07-28,Database Lock,Scale Cluster,Critical
BRO0583,Kafka,4,2026-07-08,Container Restart,Restart Service,Critical
BRO0584,Kafka,15,2026-07-25,Database Lock,Retry Pipeline,Critical
BRO0585,Kafka,3,2026-07-24,Power Outage,Replace Node,Medium
BRO0586,Kafka,6,2026-07-13,Database Lock,Increase Resources,High
BRO0587,Kafka,8,2026-07-28,Power Outage,Scale Cluster,Low
BRO0588,Kafka,7,2026-07-01,Firmware Error,Increase Resources,Critical
BRO0589,Kafka,6,2026-07-13,Power Outage,Replace Sensor,High
BRO0590,Kafka,2,2026-07-07,Broker Failure,Replace Node,Critical
BRO0591,Kafka,10,2026-07-23,Database Lock,Replace Node,High
BRO0592,Kafka,10,2026-07-06,Container Restart,Restart Service,Critical
BRO0593,Kafka,6,2026-07-18,Memory Leak,Retry Pipeline,Low
BRO0594,Kafka,14,2026-07-13,Database Lock,Scale Cluster,Critical
BRO0595,Kafka,6,2026-07-21,Memory Leak,Update Configuration,High
BRO0596,Kafka,3,2026-07-27,Database Lock,Rollback Deployment,High
BRO0597,Kafka,2,2026-07-10,Dependency Failure,Apply Patch,Medium
BRO0598,Kafka,6,2026-07-24,Firmware Error,Replace Sensor,Medium
BRO0599,Kafka,7,2026-07-06,CPU Saturation,Increase Resources,High
BRO0600,Kafka,6,2026-07-27,Configuration Drift,Rollback Deployment,Low
BRO0601,Kafka,14,2026-07-02,Power Outage,Scale Cluster,Low
BRO0602,Kafka,8,2026-07-20,Authentication Failure,Apply Patch,Low
BRO0603,Kafka,4,2026-07-14,Pod Crash,Apply Patch,Medium
BRO0604,Kafka,4,2026-07-25,Authentication Failure,Restart Service,High
BRO0605,Kafka,14,2026-07-25,Power Outage,Replace Node,Critical
BRO0606,Kafka,6,2026-07-16,Power Outage,Manual Intervention,Critical
BRO0607,Kafka,5,2026-07-25,Power Outage,Replace Sensor,High
BRO0608,Kafka,0,2026-07-18,Sensor Failure,Manual Intervention,Medium
BRO0609,Kafka,6,2026-07-18,Disk Full,Rollback Deployment,Low
BRO0610,Kafka,3,2026-07-16,Broker Failure,Manual Intervention,Low
BRO0611,Kafka,14,2026-07-20,API Rate Limit,Retry Pipeline,Low
BRO0612,Kafka,6,2026-07-21,Power Outage,Manual Intervention,Critical
BRO0613,Kafka,11,2026-07-26,CPU Saturation,Increase Resources,Critical
BRO0614,Kafka,13,2026-07-08,Authentication Failure,Replace Sensor,Medium
BRO0615,Kafka,7,2026-07-22,Pod Crash,Replace Node,High
BRO0616,Kafka,2,2026-07-16,Network Timeout,Replace Sensor,Low
BRO0617,Kafka,14,2026-07-07,Sensor Failure,Retry Pipeline,High
BRO0618,Kafka,9,2026-07-18,Container Restart,Apply Patch,Low
BRO0619,Kafka,2,2026-07-16,Broker Failure,Restart Service,Critical
BRO0620,Kafka,13,2026-07-14,Configuration Drift,Replace Node,Medium
BRO0621,Kafka,6,2026-07-15,Container Restart,Replace Node,Low
BRO0622,Kafka,10,2026-07-02,Authentication Failure,Scale Cluster,Critical
BRO0623,Kafka,3,2026-07-22,CPU Saturation,Apply Patch,Critical
BRO0624,Kafka,12,2026-07-09,Pod Crash,Replace Node,Low
BRO0625,Kafka,13,2026-07-23,Container Restart,Increase Resources,Critical
BRO0626,Kafka,0,2026-07-06,Configuration Drift,Rollback Deployment,Low
BRO0627,Kafka,9,2026-07-20,Configuration Drift,Manual Intervention,Critical
BRO0628,Kafka,2,2026-07-16,Network Timeout,Replace Sensor,Critical
BRO0629,Kafka,4,2026-07-03,Power Outage,Scale Cluster,Medium
BRO0630,Kafka,11,2026-07-13,Authentication Failure,Update Configuration,Medium
BRO0631,Kafka,2,2026-07-14,CPU Saturation,Update Configuration,Critical
BRO0632,Kafka,5,2026-07-11,CPU Saturation,Manual Intervention,Low
BRO0633,Kafka,1,2026-07-10,CPU Saturation,Restart Service,Medium
BRO0634,Kafka,0,2026-07-09,Disk Full,Apply Patch,Critical
BRO0635,Kafka,0,2026-07-19,API Rate Limit,Rollback Deployment,Critical
BRO0636,Kafka,4,2026-07-22,Configuration Drift,Restart Service,Medium
BRO0637,Kafka,3,2026-07-13,Firmware Error,Replace Node,Low
BRO0638,Kafka,12,2026-07-13,Authentication Failure,Replace Sensor,Low
BRO0639,Kafka,15,2026-07-24,Pod Crash,Replace Node,Critical
BRO0640,Kafka,1,2026-07-01,Container Restart,Rollback Deployment,Medium
BRO0641,Kafka,3,2026-07-17,Disk Full,Rollback Deployment,Low
BRO0642,Kafka,3,2026-07-26,Firmware Error,Replace Node,Critical
BRO0643,Kafka,13,2026-07-17,Authentication Failure,Scale Cluster,Critical
BRO0644,Kafka,6,2026-07-22,CPU Saturation,Rollback Deployment,Low
BRO0645,Kafka,10,2026-07-10,Disk Full,Retry Pipeline,High
BRO0646,Kafka,5,2026-07-17,Pod Crash,Retry Pipeline,Critical
BRO0647,Kafka,4,2026-07-02,API Rate Limit,Update Configuration,Medium
BRO0648,Kafka,2,2026-07-09,Power Outage,Replace Node,High
BRO0649,Kafka,6,2026-07-03,Configuration Drift,Manual Intervention,Low
BRO0650,Kafka,9,2026-07-08,Disk Full,Replace Node,Low
BRO0651,Kafka,3,2026-07-12,Configuration Drift,Manual Intervention,High
BRO0652,Kafka,8,2026-07-18,Network Timeout,Update Configuration,Critical
BRO0653,Kafka,12,2026-07-13,Broker Failure,Rollback Deployment,Low
BRO0654,Kafka,13,2026-07-28,Container Restart,Retry Pipeline,Low
BRO0655,Kafka,5,2026-07-22,Power Outage,Restart Service,Low
BRO0656,Kafka,2,2026-07-04,Container Restart,Replace Node,Low
BRO0657,Kafka,12,2026-07-09,API Rate Limit,Replace Sensor,Critical
BRO0658,Kafka,6,2026-07-25,Firmware Error,Apply Patch,High
BRO0659,Kafka,2,2026-07-07,Firmware Error,Replace Node,Critical
BRO0660,Kafka,0,2026-07-22,Power Outage,Update Configuration,Low
BRO0661,Kafka,15,2026-07-20,Authentication Failure,Increase Resources,Medium
BRO0662,Kafka,10,2026-07-16,Memory Leak,Replace Sensor,Critical
BRO0663,Kafka,13,2026-07-10,Memory Leak,Retry Pipeline,Critical
BRO0664,Kafka,14,2026-07-01,Database Lock,Increase Resources,Medium
BRO0665,Kafka,13,2026-07-25,Database Lock,Restart Service,Medium
BRO0666,Kafka,6,2026-07-05,Pod Crash,Apply Patch,Low
BRO0667,Kafka,11,2026-07-27,API Rate Limit,Scale Cluster,Medium
BRO0668,Kafka,12,2026-07-11,Dependency Failure,Scale Cluster,Medium
BRO0669,Kafka,6,2026-07-06,Sensor Failure,Manual Intervention,Critical
BRO0670,Kafka,11,2026-07-01,Sensor Failure,Apply Patch,High
BRO0671,Kafka,12,2026-07-15,Disk Full,Apply Patch,Medium
BRO0672,Kafka,2,2026-07-02,Dependency Failure,Increase Resources,Critical
BRO0673,Kafka,6,2026-07-17,Memory Leak,Scale Cluster,Critical
BRO0674,Kafka,5,2026-07-14,Network Timeout,Retry Pipeline,Low
BRO0675,Kafka,6,2026-07-19,Database Lock,Retry Pipeline,High
BRO0676,Kafka,15,2026-07-19,Database Lock,Restart Service,Low
BRO0677,Kafka,6,2026-07-26,Network Timeout,Scale Cluster,Medium
BRO0678,Kafka,14,2026-07-18,Firmware Error,Replace Sensor,High
BRO0679,Kafka,6,2026-07-01,Memory Leak,Retry Pipeline,Critical
BRO0680,Kafka,12,2026-07-13,Memory Leak,Scale Cluster,Critical
BRO0681,Kafka,14,2026-07-07,Dependency Failure,Retry Pipeline,Critical
BRO0682,Kafka,12,2026-07-17,Authentication Failure,Restart Service,Medium
BRO0683,Kafka,14,2026-07-07,Configuration Drift,Replace Sensor,High
BRO0684,Kafka,13,2026-07-09,Firmware Error,Retry Pipeline,Medium
BRO0685,Kafka,9,2026-07-09,Sensor Failure,Replace Sensor,Low
BRO0686,Kafka,13,2026-07-23,Disk Full,Restart Service,High
BRO0687,Kafka,14,2026-07-25,CPU Saturation,Replace Node,Low
BRO0688,Kafka,15,2026-07-20,Pod Crash,Manual Intervention,Critical
BRO0689,Kafka,10,2026-07-26,Broker Failure,Update Configuration,Critical
BRO0690,Kafka,4,2026-07-16,Authentication Failure,Update Configuration,Low
BRO0691,Kafka,10,2026-07-18,Memory Leak,Replace Node,Medium
BRO0692,Kafka,11,2026-07-25,Network Timeout,Replace Node,Critical
BRO0693,Kafka,7,2026-07-08,Broker Failure,Replace Sensor,Low
BRO0694,Kafka,2,2026-07-04,CPU Saturation,Scale Cluster,High
BRO0695,Kafka,7,2026-07-18,Container Restart,Update Configuration,High
BRO0696,Kafka,0,2026-07-18,Memory Leak,Replace Node,Critical
BRO0697,Kafka,15,2026-07-20,Firmware Error,Apply Patch,Low
BRO0698,Kafka,12,2026-07-27,Configuration Drift,Scale Cluster,Medium
BRO0699,Kafka,12,2026-07-09,Power Outage,Manual Intervention,Low
BRO0700,Kafka,7,2026-07-15,Memory Leak,Scale Cluster,Low
BRO0701,Kafka,10,2026-07-19,Broker Failure,Rollback Deployment,Low
BRO0702,Kafka,13,2026-07-09,API Rate Limit,Replace Node,Medium
BRO0703,Kafka,9,2026-07-05,Database Lock,Replace Sensor,Low
BRO0704,Kafka,10,2026-07-14,CPU Saturation,Increase Resources,High
BRO0705,Kafka,13,2026-07-23,Memory Leak,Retry Pipeline,Low
BRO0706,Kafka,1,2026-07-02,CPU Saturation,Retry Pipeline,High
BRO0707,Kafka,13,2026-07-04,Database Lock,Replace Node,High
BRO0708,Kafka,3,2026-07-13,Container Restart,Manual Intervention,Low
BRO0709,Kafka,5,2026-07-14,Broker Failure,Apply Patch,Medium
BRO0710,Kafka,4,2026-07-14,Pod Crash,Retry Pipeline,Critical
BRO0711,Kafka,15,2026-07-02,Broker Failure,Manual Intervention,Critical
BRO0712,Kafka,7,2026-07-25,Sensor Failure,Scale Cluster,Critical
BRO0713,Kafka,7,2026-07-02,Authentication Failure,Replace Node,High
BRO0714,Kafka,1,2026-07-25,CPU Saturation,Increase Resources,Critical
BRO0715,Kafka,6,2026-07-15,Sensor Failure,Restart Service,Critical
BRO0716,Kafka,5,2026-07-11,Sensor Failure,Manual Intervention,High
BRO0717,Kafka,15,2026-07-24,Memory Leak,Manual Intervention,High
BRO0718,Kafka,0,2026-07-17,Configuration Drift,Replace Node,Medium
BRO0719,Kafka,0,2026-07-19,Disk Full,Apply Patch,High
BRO0720,Kafka,2,2026-07-04,Container Restart,Apply Patch,Critical
BRO0721,Kafka,4,2026-07-16,Sensor Failure,Apply Patch,High
BRO0722,Kafka,3,2026-07-19,CPU Saturation,Apply Patch,Low
BRO0723,Kafka,6,2026-07-12,Broker Failure,Scale Cluster,Low
BRO0724,Kafka,6,2026-07-12,Container Restart,Increase Resources,High
BRO0725,Kafka,9,2026-07-07,Container Restart,Scale Cluster,Medium
BRO0726,Kafka,3,2026-07-19,Database Lock,Manual Intervention,Low
BRO0727,Kafka,15,2026-07-12,Memory Leak,Scale Cluster,Medium
BRO0728,Kafka,6,2026-07-10,Sensor Failure,Rollback Deployment,Critical
BRO0729,Kafka,8,2026-07-22,Sensor Failure,Update Configuration,Medium
BRO0730,Kafka,6,2026-07-12,Memory Leak,Replace Sensor,Critical
BRO0731,Kafka,14,2026-07-21,CPU Saturation,Apply Patch,High
BRO0732,Kafka,8,2026-07-26,Database Lock,Restart Service,Critical
BRO0733,Kafka,13,2026-07-20,Dependency Failure,Manual Intervention,Critical
BRO0734,Kafka,9,2026-07-15,CPU Saturation,Apply Patch,Critical
BRO0735,Kafka,10,2026-07-23,Disk Full,Apply Patch,High
BRO0736,Kafka,8,2026-07-16,API Rate Limit,Restart Service,Critical
BRO0737,Kafka,5,2026-07-01,Dependency Failure,Retry Pipeline,High
BRO0738,Kafka,8,2026-07-04,Memory Leak,Scale Cluster,High
BRO0739,Kafka,15,2026-07-18,Authentication Failure,Manual Intervention,Critical
BRO0740,Kafka,9,2026-07-04,Disk Full,Restart Service,Critical
BRO0741,Kafka,3,2026-07-15,Disk Full,Restart Service,High
BRO0742,Kafka,7,2026-07-22,Broker Failure,Update Configuration,Medium
BRO0743,Kafka,10,2026-07-05,Memory Leak,Increase Resources,Medium
BRO0744,Kafka,5,2026-07-01,Authentication Failure,Rollback Deployment,High
BRO0745,Kafka,15,2026-07-21,Sensor Failure,Apply Patch,Low
BRO0746,Kafka,11,2026-07-28,Database Lock,Restart Service,Low
BRO0747,Kafka,5,2026-07-16,Firmware Error,Apply Patch,High
BRO0748,Kafka,13,2026-07-17,Network Timeout,Update Configuration,Critical
BRO0749,Kafka,2,2026-07-21,Memory Leak,Rollback Deployment,High
BRO0750,Kafka,9,2026-07-22,Configuration Drift,Manual Intervention,Low
BRO0751,Kafka,8,2026-07-24,CPU Saturation,Replace Node,High
BRO0752,Kafka,3,2026-07-24,Sensor Failure,Increase Resources,Critical
BRO0753,Kafka,8,2026-07-03,Pod Crash,Scale Cluster,Low
BRO0754,Kafka,3,2026-07-05,Container Restart,Increase Resources,Low
BRO0755,Kafka,6,2026-07-03,Database Lock,Replace Node,High
BRO0756,Kafka,7,2026-07-23,Broker Failure,Replace Node,Medium
BRO0757,Kafka,13,2026-07-03,Broker Failure,Replace Sensor,Low
BRO0758,Kafka,6,2026-07-24,Memory Leak,Replace Node,Medium
BRO0759,Kafka,10,2026-07-12,CPU Saturation,Update Configuration,Medium
BRO0760,Kafka,15,2026-07-23,Container Restart,Update Configuration,Low
BRO0761,Kafka,14,2026-07-21,API Rate Limit,Retry Pipeline,Critical
BRO0762,Kafka,7,2026-07-09,Database Lock,Replace Sensor,Critical
BRO0763,Kafka,10,2026-07-08,API Rate Limit,Apply Patch,High
BRO0764,Kafka,14,2026-07-01,Authentication Failure,Restart Service,Low
BRO0765,Kafka,10,2026-07-09,Disk Full,Restart Service,Low
BRO0766,Kafka,15,2026-07-25,Database Lock,Increase Resources,High
BRO0767,Kafka,13,2026-07-09,Disk Full,Retry Pipeline,Low
BRO0768,Kafka,7,2026-07-08,Authentication Failure,Rollback Deployment,Low
BRO0769,Kafka,8,2026-07-20,Power Outage,Restart Service,High
BRO0770,Kafka,6,2026-07-02,Database Lock,Replace Sensor,Low
BRO0771,Kafka,15,2026-07-02,Network Timeout,Scale Cluster,Medium
BRO0772,Kafka,6,2026-07-04,Database Lock,Rollback Deployment,Medium
BRO0773,Kafka,5,2026-07-03,API Rate Limit,Replace Node,Medium
BRO0774,Kafka,9,2026-07-09,Sensor Failure,Retry Pipeline,Low
BRO0775,Kafka,3,2026-07-09,Firmware Error,Manual Intervention,Medium
BRO0776,Kafka,5,2026-07-17,Container Restart,Restart Service,Medium
BRO0777,Kafka,8,2026-07-23,Sensor Failure,Update Configuration,Low
BRO0778,Kafka,4,2026-07-13,Disk Full,Replace Sensor,Low
BRO0779,Kafka,0,2026-07-28,Disk Full,Restart Service,Low
BRO0780,Kafka,4,2026-07-13,Authentication Failure,Rollback Deployment,Critical
BRO0781,Kafka,7,2026-07-22,API Rate Limit,Manual Intervention,Medium
BRO0782,Kafka,11,2026-07-27,Pod Crash,Replace Sensor,Critical
BRO0783,Kafka,0,2026-07-06,Memory Leak,Manual Intervention,High
BRO0784,Kafka,5,2026-07-18,Broker Failure,Scale Cluster,Critical
BRO0785,Kafka,4,2026-07-15,Power Outage,Apply Patch,Low
BRO0786,Kafka,13,2026-07-25,Sensor Failure,Manual Intervention,High
BRO0787,Kafka,12,2026-07-19,API Rate Limit,Apply Patch,Medium
BRO0788,Kafka,0,2026-07-22,Power Outage,Manual Intervention,Medium
BRO0789,Kafka,10,2026-07-02,Dependency Failure,Retry Pipeline,Low
BRO0790,Kafka,2,2026-07-28,Authentication Failure,Increase Resources,Medium
BRO0791,Kafka,6,2026-07-06,Memory Leak,Restart Service,Critical
BRO0792,Kafka,11,2026-07-17,Sensor Failure,Update Configuration,Medium
BRO0793,Kafka,5,2026-07-17,Broker Failure,Rollback Deployment,Critical
BRO0794,Kafka,9,2026-07-20,Firmware Error,Scale Cluster,Medium
BRO0795,Kafka,1,2026-07-13,API Rate Limit,Apply Patch,Low
BRO0796,Kafka,6,2026-07-27,Database Lock,Apply Patch,Medium
BRO0797,Kafka,14,2026-07-12,Broker Failure,Manual Intervention,High
BRO0798,Kafka,4,2026-07-28,Memory Leak,Restart Service,Critical
BRO0799,Kafka,10,2026-07-16,Power Outage,Replace Sensor,High
BRO0800,Kafka,8,2026-07-20,Dependency Failure,Manual Intervention,Low
BRO0801,Kafka,8,2026-07-24,Configuration Drift,Increase Resources,Low
BRO0802,Kafka,15,2026-07-26,Disk Full,Restart Service,Medium
BRO0803,Kafka,2,2026-07-09,Database Lock,Manual Intervention,Low
BRO0804,Kafka,3,2026-07-11,Configuration Drift,Restart Service,Critical
BRO0805,Kafka,3,2026-07-24,Pod Crash,Apply Patch,Low
BRO0806,Kafka,12,2026-07-12,Firmware Error,Update Configuration,Low
BRO0807,Kafka,5,2026-07-03,Pod Crash,Rollback Deployment,Critical
BRO0808,Kafka,13,2026-07-20,Authentication Failure,Manual Intervention,Low
BRO0809,Kafka,8,2026-07-08,Network Timeout,Scale Cluster,Critical
BRO0810,Kafka,10,2026-07-17,Pod Crash,Rollback Deployment,Medium
BRO0811,Kafka,2,2026-07-15,Configuration Drift,Replace Sensor,High
BRO0812,Kafka,13,2026-07-22,Disk Full,Increase Resources,Low
BRO0813,Kafka,6,2026-07-13,Power Outage,Replace Sensor,Medium
BRO0814,Kafka,2,2026-07-20,Power Outage,Restart Service,Medium
BRO0815,Kafka,5,2026-07-27,Disk Full,Replace Node,Low
BRO0816,Kafka,9,2026-07-07,Sensor Failure,Retry Pipeline,Low
BRO0817,Kafka,9,2026-07-07,Power Outage,Rollback Deployment,Critical
BRO0818,Kafka,0,2026-07-20,Network Timeout,Update Configuration,Low
BRO0819,Kafka,14,2026-07-12,Pod Crash,Scale Cluster,Medium
BRO0820,Kafka,8,2026-07-06,Pod Crash,Restart Service,High
BRO0821,Kafka,5,2026-07-10,Power Outage,Update Configuration,Low
BRO0822,Kafka,14,2026-07-22,Dependency Failure,Increase Resources,Medium
BRO0823,Kafka,8,2026-07-07,Broker Failure,Replace Node,Medium
BRO0824,Kafka,7,2026-07-11,Authentication Failure,Update Configuration,Critical
BRO0825,Kafka,13,2026-07-07,API Rate Limit,Retry Pipeline,Medium
BRO0826,Kafka,7,2026-07-10,Disk Full,Apply Patch,High
BRO0827,Kafka,14,2026-07-11,Pod Crash,Scale Cluster,Medium
BRO0828,Kafka,7,2026-07-15,Sensor Failure,Rollback Deployment,High
BRO0829,Kafka,6,2026-07-15,API Rate Limit,Retry Pipeline,High
BRO0830,Kafka,15,2026-07-05,Authentication Failure,Manual Intervention,High
BRO0831,Kafka,12,2026-07-05,Container Restart,Replace Node,Critical
BRO0832,Kafka,14,2026-07-17,Authentication Failure,Replace Node,Medium
BRO0833,Kafka,10,2026-07-11,Configuration Drift,Retry Pipeline,Medium
BRO0834,Kafka,13,2026-07-18,Firmware Error,Manual Intervention,High
BRO0835,Kafka,12,2026-07-03,Container Restart,Restart Service,Low
BRO0836,Kafka,2,2026-07-08,API Rate Limit,Replace Node,Medium
BRO0837,Kafka,15,2026-07-16,Configuration Drift,Scale Cluster,Critical
BRO0838,Kafka,2,2026-07-07,Memory Leak,Apply Patch,High
BRO0839,Kafka,5,2026-07-20,CPU Saturation,Manual Intervention,Critical
BRO0840,Kafka,14,2026-07-13,Firmware Error,Rollback Deployment,High
BRO0841,Kafka,3,2026-07-15,API Rate Limit,Restart Service,Low
BRO0842,Kafka,6,2026-07-10,API Rate Limit,Manual Intervention,Critical
BRO0843,Kafka,14,2026-07-13,Authentication Failure,Rollback Deployment,High
BRO0844,Kafka,15,2026-07-22,Network Timeout,Increase Resources,Critical
BRO0845,Kafka,5,2026-07-14,Pod Crash,Scale Cluster,Critical
BRO0846,Kafka,1,2026-07-22,CPU Saturation,Restart Service,Low
BRO0847,Kafka,1,2026-07-24,Network Timeout,Replace Sensor,High
BRO0848,Kafka,7,2026-07-24,Authentication Failure,Replace Sensor,High
BRO0849,Kafka,0,2026-07-03,Dependency Failure,Manual Intervention,Critical
BRO0850,Kafka,8,2026-07-18,CPU Saturation,Update Configuration,Low
BRO0851,Kafka,3,2026-07-19,Network Timeout,Increase Resources,Critical
BRO0852,Kafka,1,2026-07-19,Authentication Failure,Increase Resources,Low
BRO0853,Kafka,9,2026-07-15,Container Restart,Retry Pipeline,Low
BRO0854,Kafka,5,2026-07-20,Configuration Drift,Scale Cluster,High
BRO0855,Kafka,12,2026-07-10,Container Restart,Replace Node,Medium
BRO0856,Kafka,12,2026-07-06,Power Outage,Retry Pipeline,Low
BRO0857,Kafka,4,2026-07-03,CPU Saturation,Apply Patch,High
BRO0858,Kafka,3,2026-07-24,Dependency Failure,Replace Node,High
BRO0859,Kafka,9,2026-07-06,Firmware Error,Replace Node,Low
BRO0860,Kafka,14,2026-07-06,Disk Full,Update Configuration,High
BRO0861,Kafka,7,2026-07-28,Disk Full,Update Configuration,High
BRO0862,Kafka,7,2026-07-24,Pod Crash,Replace Sensor,Low
BRO0863,Kafka,7,2026-07-24,Pod Crash,Replace Node,Critical
BRO0864,Kafka,10,2026-07-01,Authentication Failure,Scale Cluster,Critical
BRO0865,Kafka,3,2026-07-06,Network Timeout,Replace Sensor,Low
BRO0866,Kafka,9,2026-07-03,Disk Full,Replace Node,High
BRO0867,Kafka,8,2026-07-15,CPU Saturation,Update Configuration,Low
BRO0868,Kafka,12,2026-07-15,Broker Failure,Restart Service,Low
BRO0869,Kafka,0,2026-07-28,Authentication Failure,Replace Sensor,Medium
BRO0870,Kafka,10,2026-07-28,Database Lock,Retry Pipeline,Critical
BRO0871,Kafka,11,2026-07-19,Disk Full,Restart Service,Medium
BRO0872,Kafka,13,2026-07-22,Dependency Failure,Rollback Deployment,Medium
BRO0873,Kafka,15,2026-07-26,CPU Saturation,Retry Pipeline,High
BRO0874,Kafka,4,2026-07-02,Firmware Error,Scale Cluster,Medium
BRO0875,Kafka,7,2026-07-27,Sensor Failure,Replace Sensor,Medium
BRO0876,Kafka,11,2026-07-05,Network Timeout,Apply Patch,High
BRO0877,Kafka,6,2026-07-23,Container Restart,Restart Service,Medium
BRO0878,Kafka,13,2026-07-02,API Rate Limit,Retry Pipeline,Critical
BRO0879,Kafka,14,2026-07-26,Pod Crash,Update Configuration,High
BRO0880,Kafka,8,2026-07-07,CPU Saturation,Increase Resources,Critical
BRO0881,Kafka,6,2026-07-12,API Rate Limit,Increase Resources,Medium
BRO0882,Kafka,10,2026-07-21,Database Lock,Replace Node,Medium
BRO0883,Kafka,1,2026-07-06,Configuration Drift,Replace Node,Critical
BRO0884,Kafka,11,2026-07-18,Authentication Failure,Replace Sensor,Medium
BRO0885,Kafka,13,2026-07-09,Power Outage,Rollback Deployment,High
BRO0886,Kafka,15,2026-07-25,Pod Crash,Manual Intervention,Medium
BRO0887,Kafka,0,2026-07-02,Power Outage,Replace Node,Critical
BRO0888,Kafka,4,2026-07-26,API Rate Limit,Increase Resources,Low
BRO0889,Kafka,10,2026-07-03,CPU Saturation,Restart Service,Low
BRO0890,Kafka,1,2026-07-19,Memory Leak,Apply Patch,High
BRO0891,Kafka,13,2026-07-07,Authentication Failure,Retry Pipeline,Medium
BRO0892,Kafka,12,2026-07-19,Pod Crash,Replace Sensor,Medium
BRO0893,Kafka,5,2026-07-25,CPU Saturation,Manual Intervention,Critical
BRO0894,Kafka,13,2026-07-08,Pod Crash,Restart Service,Medium
